Time	Open	High	Low	Close	Volume
2018-04-08 23:00:00	1.40902	1.40916	1.40852	1.40872	1158	15
2018-04-08 23:30:00	1.40871	1.4091	1.40853	1.409	805	13
2018-04-09 00:00:00	1.409	1.4092	1.40858	1.40911	1235	10
2018-04-09 00:30:00	1.40911	1.40966	1.40868	1.40965	1186	8
2018-04-09 01:00:00	1.40963	1.40977	1.40915	1.40928	1315	7
2018-04-09 01:30:00	1.40928	1.41012	1.40926	1.40931	1500	6
2018-04-09 02:00:00	1.40931	1.40945	1.40878	1.40885	757	7
2018-04-09 02:30:00	1.40885	1.40967	1.40885	1.40962	1206	9
2018-04-09 03:00:00	1.40964	1.40971	1.40904	1.40921	1574	9
2018-04-09 03:30:00	1.40921	1.40976	1.4092	1.40954	1293	7
2018-04-09 04:00:00	1.40954	1.4096	1.40947	1.40947	778	6
2018-04-09 04:30:00	1.40947	1.40957	1.40929	1.40949	600	7
2018-04-09 05:00:00	1.40948	1.40951	1.40908	1.4094	795	10
2018-04-09 05:30:00	1.4094	1.40986	1.40935	1.40956	1237	9
2018-04-09 06:00:00	1.40957	1.41178	1.40894	1.4113	4045	9
2018-04-09 06:30:00	1.4113	1.4114	1.4096	1.40997	3367	9
2018-04-09 07:00:00	1.40993	1.41044	1.40782	1.41025	6214	7
2018-04-09 07:30:00	1.4103	1.41167	1.40997	1.41126	3826	9
2018-04-09 08:00:00	1.41126	1.41126	1.40985	1.41075	3625	8
2018-04-09 08:30:00	1.41076	1.41137	1.41024	1.41106	3610	7
2018-04-09 09:00:00	1.41106	1.41152	1.41048	1.41049	2367	8
2018-04-09 09:30:00	1.41049	1.41078	1.40928	1.40928	2759	7
2018-04-09 10:00:00	1.40931	1.4096	1.40839	1.40921	3792	8
2018-04-09 10:30:00	1.4092	1.41061	1.40906	1.41031	9063	8
2018-04-09 11:00:00	1.41032	1.41054	1.40958	1.41022	2666	8
2018-04-09 11:30:00	1.41023	1.41194	1.41023	1.41181	3726	6
2018-04-09 12:00:00	1.41183	1.41302	1.41155	1.41278	4313	7
2018-04-09 12:30:00	1.41279	1.41447	1.41243	1.41438	3717	7
2018-04-09 13:00:00	1.41439	1.41644	1.41419	1.41537	4147	7
2018-04-09 13:30:00	1.41536	1.41574	1.41422	1.41452	4413	6
2018-04-09 14:00:00	1.41454	1.41506	1.41369	1.41421	3934	8
2018-04-09 14:30:00	1.41424	1.41523	1.41252	1.41272	4799	8
2018-04-09 15:00:00	1.4127	1.41389	1.41229	1.41372	3764	6
2018-04-09 15:30:00	1.41372	1.41372	1.41232	1.41346	3617	7
2018-04-09 16:00:00	1.41345	1.41361	1.4124	1.4135	2536	7
2018-04-09 16:30:00	1.4135	1.41438	1.41331	1.41344	3260	8
2018-04-09 17:00:00	1.41344	1.41432	1.41339	1.41344	2528	8
2018-04-09 17:30:00	1.41343	1.41346	1.41268	1.41309	1947	8
2018-04-09 18:00:00	1.41309	1.41364	1.41275	1.41315	2560	7
2018-04-09 18:30:00	1.41316	1.4138	1.41314	1.41331	2532	8
2018-04-09 19:00:00	1.41331	1.41332	1.41264	1.41274	1957	10
2018-04-09 19:30:00	1.41274	1.41314	1.41244	1.41293	3666	10
2018-04-09 20:00:00	1.41291	1.41317	1.4126	1.41297	1337	8
2018-04-09 20:30:00	1.41296	1.41318	1.41266	1.41294	1437	9
2018-04-09 21:00:00	1.41294	1.4138	1.41252	1.41289	644	58
2018-04-09 21:30:00	1.41288	1.41303	1.41259	1.4128	753	45
2018-04-09 22:00:00	1.41281	1.41332	1.41281	1.4131	605	16
